date, Per 100K Population, Annual % Change,
12/31/1990,1.7868,,
12/31/1991,2.1313,19.28,
12/31/1992,1.9755,-7.31,
12/31/1993,1.8898,-4.34,
12/31/1994,1.7153,-9.23,
12/31/1995,1.9665,14.64,
12/31/1996,2.1606,9.87,
12/31/1997,2.5413,17.62,
12/31/1998,2.8839,13.48,
12/31/1999,2.6287,-8.85,
12/31/2000,2.4014,-8.65,
12/31/2001,2.196,-8.55,
12/31/2002,2.3403,6.57,
12/31/2003,2.2838,-2.41,
12/31/2004,1.9618,-14.1, 
12/31/2005,2.3299,18.76, 
12/31/2006,2.2181,-4.8,
12/31/2007,2.4066,8.5,
12/31/2008,2.158,-10.33,
12/31/2009,1.9881,-7.87,
12/31/2010,1.8804,-5.42,
12/31/2011,1.8161,-3.42,
12/31/2012,2.0297,11.76,
12/31/2013,2.0807,2.51,
12/31/2014,1.6663,-19.92,
12/31/2015,1.6029,-3.8,
12/31/2016,1.4464,-9.76,
12/31/2017,1.1853,-18.05,
12/31/2018,0.9969,-15.89,
12/31/2019,0.945,-5.21,
12/31/2020,0.762,-19.37,
12/31/2021,0.7238,-5.01,
